Movie Title,Year,Score,Directors,Cast,Consensus
Aggretsuko,2018,96,"Rareko, Taro Goto","Kaolip, Shingo Kato, Komegumi Koiwasaki, Maki Tsuruta",Retsuko is a 25-year-old red panda who is growing increasingly frustrated with her job in the accounting department of a...
Vikings: Valhalla,2022,96,"Michael Hirst, Jeb Stuart, Morgan O'Sullivan, Sherry Marsh","Sam Corlett, Leo Suter, Frida Gustavsson, Jóhannes Haukur Jóhannesson",The adventures of famous Vikings as they blaze new paths in an ever-changing Europe....
Our Planet,2019,96,"Alastair Fothergill, Keith Scholey",David Attenborough,Sir David Attenborough narrates this eight-part series that explores the unique wonders of the natural world. Produced in partnership with...
American Nightmare,2024,96,"Bernadette Higgins, Felicity Morris, Rebecca North, Fiona Stourton",,"After a harrowing home invasion and kidnapping in 2015, a couple is accused of staging the ordeal when the woman..."
Dark,2017,95,"Baran bo Odar, Quirin Berg, Baran bo Odar, Jantje Friese","Oliver Masucci, Karoline Eichhorn, Jördis Triebel, Louis Hofmann","When two children go missing in a small German town, its sinful past is exposed along with the double lives..."
Documentary Now!,2015,95,"Fred Armisen, Bill Hader, Seth Meyers, Lorne Michaels","Fred Armisen, Bill Hader, Helen Mirren","""Saturday Night Live"" compatriots Fred Armisen, Bill Hader and Seth Meyers serve as creators, executive producers and writers of this..."
Queen Charlotte: A Bridgerton Story,2023,95,"Shonda Rhimes, Betsy Beers, Tom Verica","India Amarteifio, Adjoa Andoh, Michelle Fairley, Ruth Gemmell",The young queen's marriage to King George of England ushers in an epic love story and transforms high society....
Squid Game,2021,95,Hwang Dong-hyuk,"Lee Jung-jae, Park Hae-soo, Oh Yeong-su, Wi Ha-joon","Hundreds of cash-strapped contestants accept an invitation to compete in children's games for a tempting prize, but the stakes are..."
Masters of the Universe: Revelation,2021,95,"Kevin Smith, Roberto Davide, Adam Bonnett, Christopher Keenan","Chris Wood, Mark Hamill, Lena Headey, Sarah Michelle Gellar",The war for Eternia begins again in what may be the final battle between He-Man and Skeletor....
Transatlantic,2023,95,"Anna Winger, Julie Orringer, Camille McCurry","Cory Michael Smith, Gillian Jacobs, Lucas Englander, Deleila Piasko","Transatlantic is inspired by the true story of Varian Fry, Mary Jayne Gold and the Emergency Rescue Committee. Risking their..."
Big Mouth,2017,94,"Nick Kroll, Andrew Goldberg, Mark Levin, Jennifer Flackett","Nick Kroll, John Mulaney, Jessi Klein, Jason Mantzoukas","Even for a cartoon character, going through puberty isn't easy for a young person. Andrew is learning that first hand..."
Maid,2021,94,"John Wells, Molly Smith Metzler, Margot Robbie, Tom Ackerley","Margaret Qualley, Nick Robinson, Anika Noni Rose, Tracy Vilar",Single mother Alex turns to housecleaning to make ends meet as she escapes an abusive relationship and overcomes homelessness to...
